FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
924821|Humble Oil and Refining Number 1|Spring|NM|35|Hidalgo|023|313030N|1082532W|31.5084388|-108.4255951|||||1382|4534|U Bar Ridge|03/01/1994|
924822|City of Albuquerque West Mesa Well|Well|NM|35|Bernalillo|001|350600N|1070352W|35.1000436|-107.0644814|||||1730|5676|Canoncito School|03/01/1994|
924823|Lighting Dock Area KGRA|Area|NM|35|Hidalgo|023|320800N|1084732W|32.1334193|-108.7922775|||||1371|4498|Swallow Fork Peak|03/01/1994|
924824|Aragon Springs|Spring|NM|35|Cibola|006|345400N|1083102W|34.9000396|-108.5172958|||||2198|7211|Shoemaker Canyon|03/01/1994|04/19/2011
924825|Barb|Locale|NM|35|Rio Arriba|039|363230N|1064132W|36.5416821|-106.6922588|||||2159|7083|El Vado|03/01/1994|
924826|Big Horn Siding Rail Road Water Tank|Locale|NM|35|Rio Arriba|039|365830N|1060702W|36.9750134|-106.1172459|||||2660|8727|Los Pinos|03/01/1994|
924827|El Vado Lake State Park|Park|NM|35|Rio Arriba|039|363600N|1064432W|36.6000149|-106.7422603|||||2107|6913|El Vado|03/01/1994|
924828|Corkins Lodge|Locale|NM|35|Rio Arriba|039|364400N|1062612W|36.7333476|-106.4366978|||||2609|8560|Penasco Amarillo|03/01/1994|
924829|Ski Rio|Locale|NM|35|Taos|055|365250N|1052802W|36.8805807|-105.4672289|||||2940|9646|Amalia|03/01/1994|
924830|Canoncito|Populated Place|NM|35|Taos|055|363240N|1053802W|36.5444687|-105.6338992|||||2211|7254|Arroyo Hondo|03/01/1994|
924833|Top of the World Farms|Locale|NM|35|Taos|055|365600N|1053832W|36.9333544|-105.6422329|||||2337|7667|Ute Mountain|03/01/1994|
924834|Rush|Locale|NM|35|Taos|055|363955N|1055802W|36.6652959|-105.9672383|||||2470|8104|Tres Piedras|03/01/1994|
924835|United Perlite|Mine|NM|35|Taos|055|364600N|1055702W|36.7666844|-105.9505705|||||2553|8376|La Segita Peaks|03/01/1994|
924836|McGreggor Antelope Guzzler|Locale|NM|35|Taos|055|365130N|1054702W|36.8583527|-105.7839003|||||2333|7654|Cerro De La Olla|03/01/1994|
924837|Maestas Antelope Guzzler|Locale|NM|35|Taos|055|365730N|1055432W|36.9583496|-105.9089063|||||2415|7923|Pinabetoso Peaks|03/01/1994|
924838|Gorman|Locale|NM|35|Colfax|007|363150N|1051727W|36.5305872|-105.2908406|||||2551|8369|Eagle Nest|03/01/1994|
924839|Heck|Locale|NM|35|Colfax|007|364002N|1051832W|36.6672529|-105.3088938|||||2759|9052|Red River Pass|03/01/1994|
924840|Torres|Locale|NM|35|Rio Arriba|039|365730N|1065017W|36.9583448|-106.8380925|||||2537|8323|Monero|03/01/1994|
924841|Little Arsenic Rapids|Rapids|NM|35|Taos|055|363953N|1054112W|36.664745|-105.6866752|||||2058|6752|Guadalupe Mountain|03/01/1994|
924842|Big Arsenic Falls|Rapids|NM|35|Taos|055|364031N|1054219W|36.6753|-105.7052863|||||2303|7556|Guadalupe Mountain|03/01/1994|
924843|Zuni - Ramah Service Unit Zuni Indian Health Service Hospital|Hospital|NM|35|McKinley|031|350513N|1084728W|35.0870072|-108.7910326|||||1966|6450|Zuni|03/01/1994|02/01/2012
924844|Cibola General Hospital|Hospital|NM|35|Cibola|006|350944N|1074938W|35.162328|-107.8270995|||||1976|6483|Grants|03/01/1994|02/01/2012
924846|Redgate Dam|Dam|NM|35|Sandoval|043|352645N|1065918W|35.4458666|-106.9883728|||||1846|6056|Collier Draw|03/01/1994|
924847|Melton Windmill|Locale|NM|35|San Miguel|047|352443N|1052438W|35.4119882|-105.4105666|||||1948|6391|San Jose|03/01/1994|
924849|Bisti Badlands|Area|NM|35|San Juan|045|361705N|1081142W|36.2847312|-108.1950721|||||1805|5922|Alamo Mesa West|03/01/1994|
